sample;date;strain;temperature;nitrate;rep.well;Abs;comments;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_L1;05/03/2016 08:30;L1-1;34;L1;ANCESTRAL;0.011;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_L1;05/03/2016 08:30;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_L1;05/03/2016 08:30;L1-4;34;L1;ANCESTRAL;0.016;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_5;05/03/2016 08:30;5-1;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_5;05/03/2016 08:30;5-2;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_5;05/03/2016 08:30;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_5;05/03/2016 08:30;5-4;34;L1;ANCESTRAL;0.001;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_L1;05/04/2016 08:45;L1-1;34;L1;ANCESTRAL;0.012;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_L1;05/04/2016 08:45;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_L1;05/04/2016 08:45;L1-4;34;L1;ANCESTRAL;0.021;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_5;05/04/2016 08:45;5-1;34;L1;ANCESTRAL;0.001;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_5;05/04/2016 08:45;5-2;34;L1;ANCESTRAL;0.001;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_5;05/04/2016 08:45;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_5;05/04/2016 08:45;5-4;34;L1;ANCESTRAL;0.001;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_L1;05/05/2016 08:45;L1-1;34;L1;ANCESTRAL;0.014;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_L1;05/05/2016 08:45;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_L1;05/05/2016 08:45;L1-4;34;L1;ANCESTRAL;0.024;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_5;05/05/2016 08:45;5-1;34;L1;ANCESTRAL;0.003;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_5;05/05/2016 08:45;5-2;34;L1;ANCESTRAL;0.001;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_5;05/05/2016 08:45;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_5;05/05/2016 08:45;5-4;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_L1;05/06/2016 09:00;L1-1;34;L1;ANCESTRAL;0.011;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_L1;05/06/2016 09:00;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_L1;05/06/2016 09:00;L1-4;34;L1;ANCESTRAL;0.03;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-1;34;L1;ANCESTRAL;0.003;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-2;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-4;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_L1;05/06/2016 09:00;L1-1;34;L1;ANCESTRAL;0.011;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_L1;05/06/2016 09:00;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_L1;05/06/2016 09:00;L1-4;34;L1;ANCESTRAL;0.03;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-1;34;L1;ANCESTRAL;0.003;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-2;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-4;34;L1;ANCESTRAL;0.001;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_L1;05/07/2016 08:40;L1-1;34;L1;ANCESTRAL;0.024;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_L1;05/07/2016 08:40;L1-2;34;L1;ANCESTRAL;0.01;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_L1;05/07/2016 08:40;L1-4;34;L1;ANCESTRAL;0.041;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_5;05/07/2016 08:40;5-1;34;L1;ANCESTRAL;0.015;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_5;05/07/2016 08:40;5-2;34;L1;ANCESTRAL;0.004;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_5;05/07/2016 08:40;5-3;34;L1;ANCESTRAL;0.006;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_5;05/07/2016 08:40;5-4;34;L1;ANCESTRAL;0.007;;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_L1;05/08/2016 09:00;L1-1;34;L1;ANCESTRAL;0.016;;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_L1;05/08/2016 09:00;L1-2;34;L1;ANCESTRAL;0.005;;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_L1;05/08/2016 09:00;L1-4;34;L1;ANCESTRAL;0.03;;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_5;05/08/2016 09:00;5-1;34;L1;ANCESTRAL;0.009;;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_5;05/08/2016 09:00;5-2;34;L1;ANCESTRAL;0.002;;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_5;05/08/2016 09:00;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_08/05/2016 9:00:00_40mlFlasks_34_5;05/08/2016 09:00;5-4;34;L1;ANCESTRAL;0.003;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_L1;05/09/2016 08:50;L1-1;34;L1;ANCESTRAL;0.017;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_L1;05/09/2016 08:50;L1-2;34;L1;ANCESTRAL;0.007;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_L1;05/09/2016 08:50;L1-4;34;L1;ANCESTRAL;0.035;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-1;34;L1;ANCESTRAL;0.008;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-2;34;L1;ANCESTRAL;0.005;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-3;34;L1;ANCESTRAL;0.004;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-4;34;L1;ANCESTRAL;0.009;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_L1;05/09/2016 08:50;L1-1;34;L1;ANCESTRAL;0.017;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_L1;05/09/2016 08:50;L1-2;34;L1;ANCESTRAL;0.007;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_L1;05/09/2016 08:50;L1-4;34;L1;ANCESTRAL;0.035;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-1;34;L1;ANCESTRAL;0.008;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-2;34;L1;ANCESTRAL;0.005;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-3;34;L1;ANCESTRAL;0.004;;
Chsim_09/05/2016 8:50:00_40mlFlasks_34_5;05/09/2016 08:50;5-4;34;L1;ANCESTRAL;0.009;;
Chsim_10/05/2016 9:35:00_40mlFlasks_34_L1;05/10/2016 09:35;L1-1;34;L1;ANCESTRAL;0.022;;
Chsim_10/05/2016 9:35:00_40mlFlasks_34_L1;05/10/2016 09:35;L1-2;34;L1;ANCESTRAL;0.008;;
Chsim_10/05/2016 9:35:00_40mlFlasks_34_L1;05/10/2016 09:35;L1-4;34;L1;ANCESTRAL;0.035;;
Chsim_10/05/2016 9:35:00_40mlFlasks_34_5;05/10/2016 09:35;5-1;34;L1;ANCESTRAL;0.012;;
Chsim_10/05/2016 9:35:00_40mlFlasks_34_5;05/10/2016 09:35;5-2;34;L1;ANCESTRAL;0.017;;
Chsim_10/05/2016 9:35:00_40mlFlasks_34_5;05/10/2016 09:35;5-3;34;L1;ANCESTRAL;0.007;;
Chsim_10/05/2016 9:35:00_40mlFlasks_34_5;05/10/2016 09:35;5-4;34;L1;ANCESTRAL;0.01;;
Chsim_11/05/2016 9:17:00_40mlFlasks_34_L1;05/11/2016 09:17;L1-1;34;L1;ANCESTRAL;0.013;;
Chsim_11/05/2016 9:17:00_40mlFlasks_34_L1;05/11/2016 09:17;L1-2;34;L1;ANCESTRAL;0.005;;
Chsim_11/05/2016 9:17:00_40mlFlasks_34_L1;05/11/2016 09:17;L1-4;34;L1;ANCESTRAL;0.033;;
Chsim_11/05/2016 9:17:00_40mlFlasks_34_5;05/11/2016 09:17;5-1;34;L1;ANCESTRAL;0.006;;
Chsim_11/05/2016 9:17:00_40mlFlasks_34_5;05/11/2016 09:17;5-2;34;L1;ANCESTRAL;0.01;;
Chsim_11/05/2016 9:17:00_40mlFlasks_34_5;05/11/2016 09:17;5-3;34;L1;ANCESTRAL;0.002;;
Chsim_11/05/2016 9:17:00_40mlFlasks_34_5;05/11/2016 09:17;5-4;34;L1;ANCESTRAL;0.006;;
Chsim_12/05/2016 8:35:00_40mlFlasks_34_L1;05/12/2016 08:35;L1-1;34;L1;ANCESTRAL;0.013;;
Chsim_12/05/2016 8:35:00_40mlFlasks_34_L1;05/12/2016 08:35;L1-2;34;L1;ANCESTRAL;0.007;;
Chsim_12/05/2016 8:35:00_40mlFlasks_34_L1;05/12/2016 08:35;L1-4;34;L1;ANCESTRAL;0.031;;
Chsim_12/05/2016 8:35:00_40mlFlasks_34_5;05/12/2016 08:35;5-1;34;L1;ANCESTRAL;0.011;;
Chsim_12/05/2016 8:35:00_40mlFlasks_34_5;05/12/2016 08:35;5-2;34;L1;ANCESTRAL;0.015;;
Chsim_12/05/2016 8:35:00_40mlFlasks_34_5;05/12/2016 08:35;5-3;34;L1;ANCESTRAL;0.009;;
Chsim_12/05/2016 8:35:00_40mlFlasks_34_5;05/12/2016 08:35;5-4;34;L1;ANCESTRAL;0.007;;
05/12/2016 10:00_L1-1_34_L1_;05/12/2016 10:00;L1-1;34;L1;ANCESTRAL;0.013;;
05/12/2016 10:00_L1-2_34_L1_;05/12/2016 10:00;L1-2;34;L1;ANCESTRAL;0.007;;
05/12/2016 10:00_L1-4_34_L1_;05/12/2016 10:00;L1-4;34;L1;ANCESTRAL;0.031;;
05/12/2016 10:00_01/05/2018 0:00:00_34_L1_;05/12/2016 10:00;5-1;34;L1;ANCESTRAL;0.011;;
05/12/2016 10:00_02/05/2018 0:00:00_34_L1_;05/12/2016 10:00;5-2;34;L1;ANCESTRAL;0.015;;
05/12/2016 10:00_03/05/2018 0:00:00_34_L1_;05/12/2016 10:00;5-3;34;L1;ANCESTRAL;0.009;;
05/12/2016 10:00_04/05/2018 0:00:00_34_L1_;05/12/2016 10:00;5-4;34;L1;ANCESTRAL;0.007;;
Chsim_04/27/2016 09:15_40mlFlasks_34_L1;04/27/2016 09:15;L1-1;34;L1;ANCESTRAL;0.028;;
Chsim_04/27/2016 09:15_40mlFlasks_34_L1;04/27/2016 09:15;L1-2;34;L1;ANCESTRAL;0.01;;
Chsim_04/27/2016 09:15_40mlFlasks_34_L1;04/27/2016 09:15;L1-4;34;L1;ANCESTRAL;0.039;;
Chsim_04/27/2016 09:15_40mlFlasks_34_5;04/27/2016 09:15;5-1;34;L1;ANCESTRAL;0.016;;
Chsim_04/27/2016 09:15_40mlFlasks_34_5;04/27/2016 09:15;5-2;34;L1;ANCESTRAL;0.013;;
Chsim_04/27/2016 09:15_40mlFlasks_34_5;04/27/2016 09:15;5-3;34;L1;ANCESTRAL;0.007;;
Chsim_04/27/2016 09:15_40mlFlasks_34_5;04/27/2016 09:15;5-4;34;L1;ANCESTRAL;0.013;;
Chsim_04/28/2016 09:00_40mlFlasks_34_L1;04/28/2016 09:00;L1-1;34;L1;ANCESTRAL;0.018;;
Chsim_04/28/2016 09:00_40mlFlasks_34_L1;04/28/2016 09:00;L1-2;34;L1;ANCESTRAL;0.008;;
Chsim_04/28/2016 09:00_40mlFlasks_34_L1;04/28/2016 09:00;L1-4;34;L1;ANCESTRAL;0.028;;
Chsim_04/28/2016 09:00_40mlFlasks_34_5;04/28/2016 09:00;5-1;34;L1;ANCESTRAL;0.011;;
Chsim_04/28/2016 09:00_40mlFlasks_34_5;04/28/2016 09:00;5-2;34;L1;ANCESTRAL;0.003;;
Chsim_04/28/2016 09:00_40mlFlasks_34_5;04/28/2016 09:00;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_04/28/2016 09:00_40mlFlasks_34_5;04/28/2016 09:00;5-4;34;L1;ANCESTRAL;0.004;;
Chsim_04/29/2016 09:00_40mlFlasks_34_L1;04/29/2016 09:00;L1-1;34;L1;ANCESTRAL;0.015;;
Chsim_04/29/2016 09:00_40mlFlasks_34_L1;04/29/2016 09:00;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_04/29/2016 09:00_40mlFlasks_34_L1;04/29/2016 09:00;L1-4;34;L1;ANCESTRAL;0.023;;
Chsim_04/29/2016 09:00_40mlFlasks_34_5;04/29/2016 09:00;5-1;34;L1;ANCESTRAL;0.007;;
Chsim_04/29/2016 09:00_40mlFlasks_34_5;04/29/2016 09:00;5-2;34;L1;ANCESTRAL;0.002;;
Chsim_04/29/2016 09:00_40mlFlasks_34_5;04/29/2016 09:00;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_04/29/2016 09:00_40mlFlasks_34_5;04/29/2016 09:00;5-4;34;L1;ANCESTRAL;0.005;;
Chsim_04/30/2016 10:00_40mlFlasks_34_L1;04/30/2016 10:00;L1-1;34;L1;ANCESTRAL;0.018;;
Chsim_04/30/2016 10:00_40mlFlasks_34_L1;04/30/2016 10:00;L1-2;34;L1;ANCESTRAL;0.006;;
Chsim_04/30/2016 10:00_40mlFlasks_34_L1;04/30/2016 10:00;L1-4;34;L1;ANCESTRAL;0.029;;
Chsim_04/30/2016 10:00_40mlFlasks_34_5;04/30/2016 10:00;5-1;34;L1;ANCESTRAL;0.008;;
Chsim_04/30/2016 10:00_40mlFlasks_34_5;04/30/2016 10:00;5-2;34;L1;ANCESTRAL;0.005;;
Chsim_04/30/2016 10:00_40mlFlasks_34_5;04/30/2016 10:00;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_04/30/2016 10:00_40mlFlasks_34_5;04/30/2016 10:00;5-4;34;L1;ANCESTRAL;0.007;;
Chsim_04/24/2016 09:45_40mlFlasks_34_L1;04/24/2016 09:45;L1-1;34;L1;ANCESTRAL;0.033;;
Chsim_04/24/2016 09:45_40mlFlasks_34_L1;04/24/2016 09:45;L1-2;34;L1;ANCESTRAL;0.021;;
Chsim_04/24/2016 09:45_40mlFlasks_34_L1;04/24/2016 09:45;L1-4;34;L1;ANCESTRAL;0.046;;
Chsim_04/24/2016 09:45_40mlFlasks_34_5;04/24/2016 09:45;5-1;34;L1;ANCESTRAL;0.024;;
Chsim_04/24/2016 09:45_40mlFlasks_34_5;04/24/2016 09:45;5-2;34;L1;ANCESTRAL;0.021;;
Chsim_04/24/2016 09:45_40mlFlasks_34_5;04/24/2016 09:45;5-3;34;L1;ANCESTRAL;0.019;;
Chsim_04/24/2016 09:45_40mlFlasks_34_5;04/24/2016 09:45;5-4;34;L1;ANCESTRAL;0.024;;
Chsim_04/25/2016 09:30_40mlFlasks_34_L1;04/25/2016 09:30;L1-1;34;L1;ANCESTRAL;0.034;;
Chsim_04/25/2016 09:30_40mlFlasks_34_L1;04/25/2016 09:30;L1-2;34;L1;ANCESTRAL;0.018;;
Chsim_04/25/2016 09:30_40mlFlasks_34_L1;04/25/2016 09:30;L1-4;34;L1;ANCESTRAL;0.044;;
Chsim_04/25/2016 09:30_40mlFlasks_34_5;04/25/2016 09:30;5-1;34;L1;ANCESTRAL;0.023;;
Chsim_04/25/2016 09:30_40mlFlasks_34_5;04/25/2016 09:30;5-2;34;L1;ANCESTRAL;0.022;;
Chsim_04/25/2016 09:30_40mlFlasks_34_5;04/25/2016 09:30;5-3;34;L1;ANCESTRAL;0.015;;
Chsim_04/25/2016 09:30_40mlFlasks_34_5;04/25/2016 09:30;5-4;34;L1;ANCESTRAL;0.02;;
Chsim_04/26/2016 09:40_40mlFlasks_34_L1;04/26/2016 09:40;L1-1;34;L1;ANCESTRAL;0.034;;
Chsim_04/26/2016 09:40_40mlFlasks_34_L1;04/26/2016 09:40;L1-2;34;L1;ANCESTRAL;0.01;;
Chsim_04/26/2016 09:40_40mlFlasks_34_L1;04/26/2016 09:40;L1-4;34;L1;ANCESTRAL;0.034;;
Chsim_04/26/2016 09:40_40mlFlasks_34_5;04/26/2016 09:40;5-1;34;L1;ANCESTRAL;0.017;;
Chsim_04/26/2016 09:40_40mlFlasks_34_5;04/26/2016 09:40;5-2;34;L1;ANCESTRAL;0.015;;
Chsim_04/26/2016 09:40_40mlFlasks_34_5;04/26/2016 09:40;5-3;34;L1;ANCESTRAL;0.009;;
Chsim_04/26/2016 09:40_40mlFlasks_34_5;04/26/2016 09:40;5-4;34;L1;ANCESTRAL;0.016;;
Chsim_04/27/2016 09:15_40mlFlasks_34_L1;04/27/2016 09:15;L1-1;34;L1;ANCESTRAL;0.028;;
Chsim_04/27/2016 09:15_40mlFlasks_34_L1;04/27/2016 09:15;L1-2;34;L1;ANCESTRAL;0.01;;
Chsim_04/27/2016 09:15_40mlFlasks_34_L1;04/27/2016 09:15;L1-4;34;L1;ANCESTRAL;0.039;;
Chsim_04/27/2016 09:15_40mlFlasks_34_5;04/27/2016 09:15;5-1;34;L1;ANCESTRAL;0.016;;
Chsim_04/27/2016 09:15_40mlFlasks_34_5;04/27/2016 09:15;5-2;34;L1;ANCESTRAL;0.013;;
Chsim_04/27/2016 09:15_40mlFlasks_34_5;04/27/2016 09:15;5-3;34;L1;ANCESTRAL;0.007;;
Chsim_04/27/2016 09:15_40mlFlasks_34_5;04/27/2016 09:15;5-4;34;L1;ANCESTRAL;0.013;;0.001
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;